     TIME      BNDY    WATER      WATER      WATER       HEAT       HEAT       HEAT
               FACE     FLUX       FLUX       FLUX       FLUX       FLUX       FLUX
                       TOTAL      TIME STEP   RATE      TOTAL      TIME STEP   RATE
  1.008930E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.969E+04 -1.870E+02 -7.514E+05
  1.011916E-01     4 -1.917E-02 -3.824E-04 -1.281E+00 -5.060E+05 -1.419E+04 -4.753E+07
  1.011916E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.992E+04 -2.281E+02 -7.640E+05
  1.015499E-01     4 -1.964E-02 -4.712E-04 -1.315E+00 -5.234E+05 -1.746E+04 -4.873E+07
  1.015499E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.020E+04 -2.789E+02 -7.783E+05
  1.019799E-01     4 -2.023E-02 -5.828E-04 -1.355E+00 -5.450E+05 -2.155E+04 -5.013E+07
  1.019799E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.054E+04 -3.416E+02 -7.944E+05
  1.024959E-01     4 -2.095E-02 -7.239E-04 -1.403E+00 -5.717E+05 -2.671E+04 -5.177E+07
  1.024959E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.096E+04 -4.195E+02 -8.131E+05
  1.031150E-01     4 -2.185E-02 -9.033E-04 -1.459E+00 -6.049E+05 -3.325E+04 -5.370E+07
  1.031150E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.148E+04 -5.167E+02 -8.345E+05
  1.038581E-01     4 -2.299E-02 -1.133E-03 -1.525E+00 -6.465E+05 -4.160E+04 -5.598E+07
  1.038581E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.212E+04 -6.385E+02 -8.593E+05
  1.047497E-01     4 -2.442E-02 -1.429E-03 -1.603E+00 -6.989E+05 -5.231E+04 -5.867E+07
  1.047497E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.291E+04 -7.915E+02 -8.877E+05
  1.058196E-01     4 -2.623E-02 -1.812E-03 -1.694E+00 -7.650E+05 -6.615E+04 -6.183E+07
  1.058196E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.389E+04 -9.844E+02 -9.201E+05
  1.071035E-01     4 -2.854E-02 -2.313E-03 -1.801E+00 -8.492E+05 -8.415E+04 -6.554E+07
  1.071035E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.512E+04 -1.228E+03 -9.568E+05
  1.086442E-01     4 -3.151E-02 -2.969E-03 -1.927E+00 -9.568E+05 -1.077E+05 -6.989E+07
  1.086442E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.666E+04 -1.538E+03 -9.986E+05
  1.104931E-01     4 -3.534E-02 -3.831E-03 -2.072E+00 -1.095E+06 -1.386E+05 -7.495E+07
  1.104931E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.859E+04 -1.932E+03 -1.045E+06
  1.127117E-01     4 -4.031E-02 -4.964E-03 -2.237E+00 -1.275E+06 -1.792E+05 -8.076E+07
  1.127117E-01     1  0.000E+00  0.000E+00  0.000E+00 -3.102E+04 -2.433E+03 -1.097E+06
  1.153740E-01     4 -4.676E-02 -6.451E-03 -2.423E+00 -1.507E+06 -2.326E+05 -8.735E+07
  1.153740E-01     1  0.000E+00  0.000E+00  0.000E+00 -3.409E+04 -3.068E+03 -1.152E+06
  1.185688E-01     4 -5.515E-02 -8.391E-03 -2.626E+00 -1.810E+06 -3.024E+05 -9.465E+07
  1.185688E-01     1  0.000E+00  0.000E+00  0.000E+00 -3.797E+04 -3.873E+03 -1.212E+06
  1.224026E-01     4 -6.604E-02 -1.089E-02 -2.840E+00 -2.203E+06 -3.930E+05 -1.025E+08
  1.224026E-01     1  0.000E+00  0.000E+00  0.000E+00 -4.285E+04 -4.889E+03 -1.275E+06
  1.270031E-01     4 -8.009E-02 -1.406E-02 -3.055E+00 -2.712E+06 -5.090E+05 -1.106E+08
  1.270031E-01     1  0.000E+00  0.000E+00  0.000E+00 -4.902E+04 -6.164E+03 -1.340E+06
  1.325237E-01     4 -9.807E-02 -1.798E-02 -3.257E+00 -3.366E+06 -6.546E+05 -1.186E+08
  1.325237E-01     1  0.000E+00  0.000E+00  0.000E+00 -5.677E+04 -7.754E+03 -1.404E+06
  1.391484E-01     4 -1.208E-01 -2.270E-02 -3.426E+00 -4.199E+06 -8.329E+05 -1.257E+08
  1.391484E-01     1  0.000E+00  0.000E+00  0.000E+00 -6.648E+04 -9.713E+03 -1.466E+06
  1.470981E-01     4 -1.490E-01 -2.820E-02 -3.547E+00 -5.244E+06 -1.045E+06 -1.314E+08
  1.470981E-01     1  0.000E+00  0.000E+00  0.000E+00 -7.858E+04 -1.210E+04 -1.522E+06
  1.566377E-01     4 -1.834E-01 -3.443E-02 -3.609E+00 -6.534E+06 -1.290E+06 -1.352E+08
  1.566377E-01     1  0.000E+00  0.000E+00  0.000E+00 -9.355E+04 -1.496E+04 -1.569E+06
  1.680853E-01     4 -2.246E-01 -4.122E-02 -3.600E+00 -8.106E+06 -1.572E+06 -1.373E+08
  1.680853E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.119E+05 -1.834E+04 -1.603E+06
  1.818223E-01     4 -2.730E-01 -4.837E-02 -3.521E+00 -9.980E+06 -1.874E+06 -1.364E+08
  1.818223E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.341E+05 -2.223E+04 -1.619E+06
  1.983068E-01     4 -3.285E-01 -5.557E-02 -3.371E+00 -1.216E+07 -2.177E+06 -1.321E+08
  1.983068E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.609E+05 -2.676E+04 -1.623E+06
  2.180882E-01     4 -3.911E-01 -6.256E-02 -3.163E+00 -1.464E+07 -2.487E+06 -1.257E+08
  2.180882E-01     1  0.000E+00  0.000E+00  0.000E+00 -1.933E+05 -3.239E+04 -1.637E+06
  2.418258E-01     4 -4.601E-01 -6.901E-02 -2.907E+00 -1.743E+07 -2.788E+06 -1.175E+08
  2.418258E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.330E+05 -3.968E+04 -1.672E+06
  2.703109E-01     4 -5.345E-01 -7.440E-02 -2.612E+00 -2.050E+07 -3.066E+06 -1.076E+08
  2.703109E-01     1  0.000E+00  0.000E+00  0.000E+00 -2.822E+05 -4.920E+04 -1.727E+06
  3.044931E-01     4 -6.128E-01 -7.824E-02 -2.289E+00 -2.380E+07 -3.298E+06 -9.648E+07
  3.044931E-01     1  0.000E+00  0.000E+00  0.000E+00 -3.437E+05 -6.156E+04 -1.801E+06
  3.455118E-01     4 -6.925E-01 -7.972E-02 -1.944E+00 -2.725E+07 -3.454E+06 -8.420E+07
  3.455118E-01     1  0.000E+00  0.000E+00  0.000E+00 -4.208E+05 -7.711E+04 -1.880E+06
  3.504340E-01     4 -7.019E-01 -9.382E-03 -1.906E+00 -2.763E+07 -3.794E+05 -7.708E+07
  3.504340E-01     1  0.000E+00  0.000E+00  0.000E+00 -4.303E+05 -9.460E+03 -1.922E+06
  3.563407E-01     4 -7.129E-01 -1.099E-02 -1.861E+00 -2.808E+07 -4.460E+05 -7.551E+07
  3.563407E-01     1  0.000E+00  0.000E+00  0.000E+00 -4.417E+05 -1.140E+04 -1.930E+06
  3.634287E-01     4 -7.257E-01 -1.280E-02 -1.806E+00 -2.860E+07 -5.218E+05 -7.361E+07
